Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Website,Last Funding Type,Last Funding Amount,Total Funding Amount,Trend Score (90 Days),Number of Employees,Categories,Founded Date,Status,Last Funding Date
Twitter,https://www.crunchbase.com/organization/twitter,"Media and Entertainment, Information Technology, Internet Services, Content and Publishing, Messaging and Telecommunications","San Francisco, California, United States",Twitter is a global social networking platform that allows its users to send and read 140-character messages known as “tweets.”,2,http://www.twitter.com/,Series Unknown,"$300,000,000","$1,460,166,511",0,1001-5000,"Social Media, Blogging Platforms, Messaging, SMS",03/21/2006,IPO,12/20/2011
Flipkart,https://www.crunchbase.com/organization/flipkart,"Commerce and Shopping, Community and Lifestyle, Design","Bangalore, Karnataka, India","Flipkart is an online shopping destination for electronics, books, music, and movies.",3,http://www.flipkart.com,Private Equity,"$71,000,000","$4,622,140,000",-0.3,10001+,"Lifestyle, Shopping, E-Commerce, Fashion, Retail",09/01/2007,Operating,06/26/2017
Pinterest,https://www.crunchbase.com/organization/pinterest,"Travel and Tourism, Media and Entertainment, Internet Services","San Francisco, California, United States",Pinterest is a visual bookmarking tool for saving and discovering creative ideas.,6,https://pinterest.com,Funding Round,"$150,000,000","$1,466,100,000",0,251-500,"Social Media, Social Bookmarking, Travel",01/01/2009,Operating,06/06/2017
Ola,https://www.crunchbase.com/organization/ani-technologies,"Apps, Commerce and Shopping, Software, Transportation, Internet Services, Mobile","Bengaluru, Karnataka, India",Ola is a mobile app for cab booking in India.,7,http://www.olacabs.com,Private Equity,"$50,000,000","$1,716,942,518",2.6,1001-5000,"Apps, Internet, Transportation, E-Commerce, Mobile",12/03/2010,Operating,06/14/2017
Blue Apron,https://www.crunchbase.com/organization/blue-apron,"Commerce and Shopping, Food and Beverage, Administrative Services","New York, New York, United States",Blue Apron is a grocery delivery service company that delivers a recipe and the required ingredients right to their customer's doorstep.,8,http://www.blueapron.com,Series D,"$135,000,000","$193,800,000",7.1,501-1000,"Food and Beverage, E-Commerce, Delivery",01/01/2012,IPO,06/09/2015
SpaceX,https://www.crunchbase.com/organization/space-exploration-technologies,"Science and Engineering, Transportation","Hawthorne, California, United States","SpaceX designs, manufactures, and launches advanced rockets and spacecrafts.",10,http://www.spacex.com,Series E,"$1,000,000,000","$1,145,560,000",-0.3,1001-5000,"Transportation, Aerospace, Space Travel",06/01/2002,Operating,01/20/2015
Razer,https://www.crunchbase.com/organization/razer,"Gaming, Platforms, Hardware, Consumer Electronics, Software, Mobile","Irvine, California, United States","Razer develops high-end precision gaming products by combining technology, ergonomics, and expert validation.",12,http://www.razerzone.com,Funding Round,"$50,000,000","$175,000,000",7.8,501-1000,"Gaming, iOS, Consumer Electronics",06/27/2005,Operating,05/15/2017
Pandora,https://www.crunchbase.com/organization/pandora,"Media and Entertainment, Navigation and Mapping, Music and Audio, Video, Content and Publishing","Oakland, California, United States",Pandora provides internet radio and recommendation services.,13,http://pandora.com,Post-IPO Equity,"$480,000,000","$694,000,000",5.2,1001-5000,"Broadcasting, Technical Support, Music, Video Streaming, Navigation",01/03/2000,IPO,06/09/2017
BuzzFeed,https://www.crunchbase.com/organization/buzzfeed,"Media and Entertainment, Internet Services, Video, Content and Publishing","New York, New York, United States","BuzzFeed provides shareable breaking news, original reporting, entertainment, and videos across the social web.",14,http://www.buzzfeed.com,Series G,"$200,000,000","$496,300,000",-0.2,501-1000,"News, Digital Entertainment, Social, Video, Internet",01/01/2006,Operating,11/18/2016
Coinbase,https://www.crunchbase.com/organization/coinbase,"Commerce and Shopping, Software, Payments, Financial Services","San Francisco, California, United States",Coinbase is a digital currency wallet service that allows traders to buy and sell bitcoin.,16,https://www.coinbase.com,Series Unknown,"$10,500,000","$117,209,590",4.6,101-250,"FinTech, Personal Finance, Bitcoin, E-Commerce",06/01/2012,Operating,07/07/2016
Klarna,https://www.crunchbase.com/organization/klarna,"Commerce and Shopping, Payments, Financial Services","Stockholm, Stockholms Lan, Sweden",Klarna provides e-commerce payment solutions for merchants and shoppers.,20,http://www.klarna.com,Funding Round,,"$411,846,585",8.5,1001-5000,"E-Commerce, Financial Services, FinTech, Payments",02/11/2005,Operating,06/27/2017
Facebook,https://www.crunchbase.com/organization/facebook,"Media and Entertainment, Internet Services","Menlo Park, California, United States",Facebook is an online social networking service that enables its users to connect with friends and family as well as make new connections.,22,http://www.facebook.com,Private Equity,"$1,500,000,000","$2,335,700,000",-0.6,10001+,"Social Media, Social Network, Social",02/04/2004,IPO,01/21/2011
Cloudflare,https://www.crunchbase.com/organization/cloudflare,"Data and Analytics, Software, Sales and Marketing, Internet Services, Privacy and Security, Advertising","San Francisco, California, United States",Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.,23,http://www.cloudflare.com,Series D,"$110,000,000","$182,050,000",6.5,251-500,"Security, Enterprise Software, Advertising, Ad Server, Analytics, Web Hosting",07/01/2009,Operating,09/22/2015
ServiceNow,https://www.crunchbase.com/organization/service-now-com,"Apps, Information Technology, Software, Internet Services","Santa Clara, California, United States","ServiceNow provides cloud-based solutions that define, structure, manage, and automate services for enterprise operations.",28,http://www.servicenow.com/,Private Equity,"$10,980,000","$83,703,892",4.9,1001-5000,"Cloud Management, PaaS, SaaS, Enterprise Software, IT Management, Enterprise Applications",01/01/2004,IPO,03/20/2012
Houzz,https://www.crunchbase.com/organization/houzz,"Real Estate, Design","Palo Alto, California, United States","Houzz is an online platform for home remodeling, architecture, interior design, decorating, landscaping, and home improvement.",33,http://www.houzz.com,Series E,"$400,000,000","$613,600,000",4.7,1001-5000,"Interior Design, Home Renovation, Architecture, Home Improvement",01/01/2009,Operating,06/09/2017
Elastic,https://www.crunchbase.com/organization/elasticsearch,"Software, Internet Services","Mountain View, California, United States","Elastic builds software to make data usable in real time and at scale for search, logging, security, and analytics use cases.",34,https://www.elastic.co,Series C,"$70,000,000","$104,000,000",6.6,501-1000,"Real Time, Open Source, Search Engine, Software, Cloud Computing",02/01/2012,Operating,06/05/2014
Uber,https://www.crunchbase.com/organization/uber,"Apps, Software, Transportation, Mobile","San Francisco, California, United States",Uber is a mobile app connecting passengers with drivers for hire.,35,http://www.uber.com,Funding Round,,"$11,562,450,000",-1.2,5001-10000,"Transportation, Public Transportation, Mobile Apps",03/01/2009,Operating,04/19/2017
