,company_name,num_employees,past_companies,past_schools,category_groups,headquarters_location,crunchbase_rank,last_funding_type,last_funding_amount,total_funding_amount,trend_score,categories,founded_date,status,last_funding_date,total_equity_funding_amount,time_since_last_funding,funding_ratio,score
0,Affirm,281,"Google, Affirm Inc., LinkedIn, Stanford University, Capital One","Stanford University, University of California Berkeley, Carnegie Mellon University, University of California Los Angeles, The Wharton School","Payments, Financial Services, Lending and Investments","San Francisco, California, United States",15903,Debt Financing,"$100,000,000",520000000,-1.7,"Consumer Lending, FinTech, Financial Services, Payments",01/01/2012,Operating,10/13/2016,420000000,1.1,420,1.359
2,Flexport,464,"Flexport, Kuehne + Nagel, Damco, EY, Deloitte","University of California Berkeley, Stanford University, University of California Los Angeles, University of Southern California, University of California Davis",Transportation,"San Francisco, California, United States",26670,Series C,"$110,000,000",204000000,-2.9,"Supply Chain Management, Shipping, Logistics",03/01/2013,Operating,9/21/2017,204000000,0.16,204,1.241
4,Qadium,67,"Stanford University, University of Washington, Apex Systems, Palantir Technologies, Palo Alto Networks","Stanford University, Caltech, University of California Berkeley, University of Pennsylvania, University of Cambridge","Commerce and Shopping, Information Technology, Software","Salt Lake City, Utah, United States",38961,Series A,"$32,000,000",32620000,-2.3,"Consumer Reviews, SaaS, Reputation, Software",01/01/2014,Operating,05/09/2017,32620000,0.53,32.62,1.348
5,Blend,260,"Blend, Palantir Technologies, Salesforce, Pandora, Clarium Capital Management","Stanford University, University of California Berkeley, University of California Davis, Carnegie Mellon University, San Francisco State University","Real Estate, Financial Services","San Francisco, California, United States",179,Series D,"$100,000,000",160000000,8.3,"FinTech, Financial Services, Home Services, Enterprise",05/01/2012,Operating,08/24/2017,160000000,0.23,160,1.353
6,Lemonade Inc,60,"Liberty Mutual Insurance, AIG, Fiverr, Powermat, Stroock & Stroock & Lavan LLP","Tel Aviv University, IDC Herzliya, Technion - Israel Institute of Technology, University of Central Florida, University of North Carolina at Chapel Hill","Science and Engineering, Data and Analytics, Software, Financial Services, Artificial Intelligence","New York, New York, United States",23116,Funding Round,,60000000,-4.8,"Insurance, Financial Services, Artificial Intelligence",01/01/2015,Operating,04/24/2017,60000000,0.57,60,0.899
8,Ripple,207,"Ripple, HSBC, Morgan Stanley, Citi, Accenture","University of California Berkeley, Stanford University, University of Pennsylvania, Harvard University, Stanford University Graduate School of Business","Payments, Internet Services, Financial Services","San Francisco, California, United States",8061,Series Unknown,,93600000,-5.8,"Financial Services, FinTech, Payments, Internet",01/01/2012,Operating,06/29/2017,93600000,0.39,93.6,1.238
10,Cadre,87,"Morgan Stanley, Goldman Sachs, Google, Square, The Blackstone Group","University of Pennsylvania, Harvard University, The Wharton School, Vanderbilt University, Georgetown University","Commerce and Shopping, Real Estate, Financial Services","New York, New York, United States",1235,Series C,"$65,000,000",133300000,-2.9,"FinTech, Financial Services, Real Estate, Marketplace",09/11/2014,Operating,06/06/2017,133300000,0.45,133.3,1.131
12,Zocdoc,587,"Zocdoc, Apple, Microsoft, Yodle, Arizona State University","Arizona State University, Cornell University, New York University, Columbia University in the City of New York, Stony Brook University","Commerce and Shopping, Health Care","New York, New York, United States",960,Series D,"$130,000,000",223000000,-0.9,"Dental, Health Care, Marketplace, Medical",09/18/2007,Operating,08/20/2015,223000000,2.25,223,0.855
13,SpaceX,4602,"SpaceX, Boeing, US Navy, United States Air Force, GE Aviation","University of Southern California, Embry-Riddle Aeronautical University, University of California Los Angeles, Stanford University, Massachusetts Institute of Technology","Science and Engineering, Transportation","Hawthorne, California, United States",6,Private Equity,"$350,000,000",1495560000,0.8,"Space Travel, Aerospace, Transportation",06/01/2002,Operating,07/27/2017,1495560000,0.31,1495.56,1.09
14,BuzzFeed,2020,"BuzzFeed, NBCUniversal Media, LLC, Viacom, Yahoo! Inc., The New York Times","New York University, Syracuse University, University of Southern California, Columbia University - Graduate School of Journalism, University of California Los Angeles","Media and Entertainment, Internet Services, Video, Content and Publishing","New York, New York, United States",11,Series G,"$200,000,000",496300000,-0.1,"Internet, News, Video, Digital Entertainment, Social",01/01/2006,Operating,11/18/2016,496300000,1,496.3,0.906
