,company_name,num_employees,past_companies,past_schools,company_name_url,category_groups,headquarters_location,description,crunchbase_rank,website,last_funding_type,last_funding_amount,total_funding_amount,trend_score,categories,founded_date,last_funding_date,total_equity_funding_amount,valuation_at_ipo,time_since_last_funding,funding_ratio,score
0,Affirm,281.0,"Google, Affirm Inc., LinkedIn, Stanford University, Capital One","Stanford University, University of California Berkeley, Carnegie Mellon University, University of California Los Angeles, The Wharton School",https://www.crunchbase.com/organization/affirm,"Payments, Financial Services, Lending and Investments","San Francisco, California, United States","Affirm, a financial technology services company, offers installment loans to consumers at the point of sale.",15903,https://affirm.com,Debt Financing,100000000,520000000,-1.7,"Consumer Lending, FinTech, Financial Services, Payments",01/01/2012,10/13/2016,420000000,,1.1,420.0,1.323
2,Flexport,464.0,"Flexport, Kuehne + Nagel, Damco, EY, Deloitte","University of California Berkeley, Stanford University, University of California Los Angeles, University of Southern California, University of California Davis",https://www.crunchbase.com/organization/flexport,Transportation,"San Francisco, California, United States","Flexport is a platform for global trade. The company makes it easy for businesses to move products by air, land, and sea around the world.",26670,https://www.flexport.com/,Series C,110000000,204000000,-2.9,"Supply Chain Management, Shipping, Logistics",03/01/2013,9/21/2017,204000000,,0.16,204.0,1.215
3,Qadium,67.0,"Stanford University, University of Washington, Apex Systems, Palantir Technologies, Palo Alto Networks","Stanford University, Caltech, University of California Berkeley, University of Pennsylvania, University of Cambridge",https://www.crunchbase.com/organization/qadium-solutions,"Information Technology, Software, Privacy and Security","San Francisco, California, United States",Qadium creates and organizes knowledge about the world's devices.,4492,https://qadium.com/,Series B,40000000,65970000,-0.7,"Software, Security, Information Technology, Cyber Security",05/01/2012,8/30/2017,65970000,,0.22,65.97,1.324
4,Blend,260.0,"Blend, Palantir Technologies, Salesforce, Pandora, Clarium Capital Management","Stanford University, University of California Berkeley, University of California Davis, Carnegie Mellon University, San Francisco State University",https://www.crunchbase.com/organization/blend-labs,"Real Estate, Financial Services","San Francisco, California, United States","Blend's technology empowers top mortgage lenders to be more efficient, compliant, and borrower-friendly.",179,https://www.blend.com,Series D,100000000,160000000,8.3,"FinTech, Financial Services, Home Services, Enterprise",05/01/2012,08/24/2017,160000000,,0.23,160.0,1.327
8,Cadre,87.0,"Morgan Stanley, Goldman Sachs, Google, Square, The Blackstone Group","University of Pennsylvania, Harvard University, The Wharton School, Vanderbilt University, Georgetown University",https://www.crunchbase.com/organization/cadre-2,"Commerce and Shopping, Real Estate, Financial Services","New York, New York, United States",Cadre is an online marketplace that connects investors and operators of real estate.,1235,http://cadre.com,Series C,65000000,133300000,-2.9,"FinTech, Financial Services, Real Estate, Marketplace",09/11/2014,06/06/2017,133300000,,0.45,133.3,1.1
10,Zocdoc,587.0,"Zocdoc, Apple, Microsoft, Yodle, Arizona State University","Arizona State University, Cornell University, New York University, Columbia University in the City of New York, Stony Brook University",https://www.crunchbase.com/organization/zocdoc,"Commerce and Shopping, Health Care","New York, New York, United States",Zocdoc is the beginning of a better healthcare experience for millions of patients every month.,960,http://www.zocdoc.com,Series D,130000000,223000000,-0.9,"Dental, Health Care, Marketplace, Medical",09/18/2007,08/20/2015,223000000,,2.25,223.0,0.817
11,SpaceX,4602.0,"SpaceX, Boeing, US Navy, United States Air Force, GE Aviation","University of Southern California, Embry-Riddle Aeronautical University, University of California Los Angeles, Stanford University, Massachusetts Institute of Technology",https://www.crunchbase.com/organization/space-exploration-technologies,"Science and Engineering, Transportation","Hawthorne, California, United States","SpaceX designs, manufactures, and launches advanced rockets and spacecraft.",6,http://www.spacex.com,Private Equity,350000000,1495560000,0.8,"Space Travel, Aerospace, Transportation",06/01/2002,07/27/2017,1495560000,,0.31,1495.56,1.06
12,BuzzFeed,2020.0,"BuzzFeed, NBCUniversal Media, LLC, Viacom, Yahoo! Inc., The New York Times","New York University, Syracuse University, University of Southern California, Columbia University - Graduate School of Journalism, University of California Los Angeles",https://www.crunchbase.com/organization/buzzfeed,"Media and Entertainment, Internet Services, Video, Content and Publishing","New York, New York, United States","BuzzFeed provides shareable breaking news, original reporting, entertainment, and videos across the social web.",11,http://www.buzzfeed.com,Series G,200000000,496300000,-0.1,"Internet, News, Video, Digital Entertainment, Social",01/01/2006,11/18/2016,496300000,,1.0,496.3,0.877
15,DJI,816.0,"DJI, Sony, Samsung Electronics, Microsoft, Crossbow Technology, Inc","The Hong Kong University of Science and Technology, University of California Berkeley, Sun Yat-Sen University, Wuhan University, UC Irvine",https://www.crunchbase.com/organization/dji,"Manufacturing, Science and Engineering, Hardware, Consumer Electronics, Mobile","Shenzhen, Guangdong, China",DJI Innovations is a Chinese company that produces commercial and recreational unmanned aerial systems.,20,http://www.dji.com/,Series B,75000000,105000000,3.2,"Manufacturing, Wireless, Consumer Electronics, Aerospace",11/06/2006,05/05/2015,105000000,,2.54,105.0,0.799
19,Flipkart,13806.0,"Flipkart, Amazon, Yahoo! Inc., Infosys, Tata Consultancy Services","Kendriya Vidyalaya, Delhi University, Bangalore University, Birla Institute of Technology and Science, Pilani, University of Mumbai",https://www.crunchbase.com/organization/flipkart,"Commerce and Shopping, Community and Lifestyle, Clothing and Apparel, Design","Bangalore, Karnataka, India","Flipkart is an online shopping destination for electronics, books, music, and movies in India.",28,http://www.flipkart.com,Secondary Market,1000000000,7122140000,-2.9,"E-Commerce, Shopping, Fashion, Retail, Lifestyle",09/01/2007,08/10/2017,7122140000,,0.27,7122.14,0.959
