Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,CB Rank (Investor),Trend Score (90 Days),Investor Type,Investment Stage
Intel Capital,/organization/intel-capital,"1,201",336,"Santa Clara, California, United States","Intel Capital is an investment firm that is focused on mergers, acquisitions, and equity investments related to tech startups.",63,9,Venture Capital,Seed
New Enterprise Associates,/organization/new-enterprise-associates,"1,371",273,"Menlo Park, California, United States",New Enterprise Associates is a California-based global venture capital firm that funds companies across all investment stages.,38,1,Venture Capital,"Post-Ipo, Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Sequoia Capital,/organization/sequoia-capital,"1,503",261,"Menlo Park, California, United States","Sequoia is a VC firm focused on energy, financial, enterprise, healthcare, internet, and mobile startups.",20,1.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
SV Angel,/organization/sv-angel,758,231,"San Francisco, California, United States","SV Angel is a San Francisco-based angel firm that helps startups with business development, financing, M&A, and other strategic advice.",238,-2.9,Micro VC,"Seed, Late Stage Venture, Debt, Early Stage Venture, Crowdfunding, Private Equity"
Accel Partners,/organization/accel-partners,"1,119",230,"Palo Alto, California, United States","Accel is a leading early and growth-stage venture capital firm, powering a global community of entrepreneurs.",33,1.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Goldman Sachs,/organization/goldman-sachs,598,187,"New York, New York, United States","Goldman Sachs is a multinational financial services firm providing securities, and investment banking and management services.",23,4.5,"Venture Capital, Investment Bank","Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Kleiner Perkins Caufield & Byers,/organization/kleiner-perkins-caufield-byers,982,181,"Menlo Park, California, United States",Kleiner Perkins Caufield & Byers invests globally in internet start ups and operate an informational website filled with technology news.,137,-0.4,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Summit Partners,/organization/summit-partners,311,175,"Boston, Massachusetts, United States","Global alternative investment firm currently investing more than $9.5B into growth equity, fixed income and public equity opportunities",779,-1.6,Private Equity Firm,"Seed, Grant, Late Stage Venture, Early Stage Venture, Private Equity"
Y Combinator,/organization/y-combinator,"1,488",170,"Mountain View, California, United States","Y Combinator is a startup accelerator based in Mountain View, California.",7,-0.4,Accelerator,"Seed, Early Stage Venture, Debt"
Greylock Partners,/organization/greylock,612,166,"Menlo Park, California, United States","Greylock Partners backs entrepreneurs who are building disruptive, market-transforming consumer and enterprise software companies.",197,-2.6,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Draper Fisher Jurvetson (DFJ),/organization/draper-fisher-jurvetson,790,159,"Menlo Park, California, United States","Draper Fisher Jurvetson is a California-based venture capital firm that funds companies in seed, early, and growth stages.",171,4.6,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Bessemer Venture Partners,/organization/bessemer-venture-partners,738,153,"Menlo Park, California, United States",Bessemer Venture Partners manages more than $4 billion of venture capital invested in over 130 companies around the world.,73,-1.2,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Silicon Valley Bank,/organization/silicon-valley-bank,464,146,"Santa Clara, California, United States","Silicon Valley Bank works with technology, life science, cleantech, venture capital, private equity and premium wine businesses.","2,346",-3.1,Investment Bank,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
500 Startups,/organization/500-startups,"1,595",141,"Mountain View, California, United States",500 Startups is a global venture capital seed fund with a network of startup programs headquartered in Silicon Valley with over $350M AUM,8,-0.3,Accelerator,"Seed, Early Stage Venture"
Venrock,/organization/venrock,541,140,"Palo Alto, California, United States",Venrock is a venture capital firm investing in technology and healthcare companies.,678,-0.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Benchmark,/organization/benchmark,537,131,"San Francisco, California, United States","Benchmark focuses on early-stage venture investing in mobile, marketplaces, social, and infrastructure and enterprise software.",423,-7.8,Venture Capital,Early Stage Venture
Battery Ventures,/organization/battery-ventures,577,120,"Boston, Massachusetts, United States","Battery Ventures finances technology sector companies with venture capital, private equity, and debt financing investments.",119,-0.6,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
TCV,/organization/technology-crossover-ventures,252,119,"Palo Alto, California, United States","Founded in 1995, TCV is a leading provider of capital to growth-stage private and public companies in the technology industry.","2,107",-4.7,Private Equity Firm,"Post-Ipo, Late Stage Venture, Secondary Market, Early Stage Venture, Private Equity"
Norwest Venture Partners - NVP,/organization/norwest-venture-partners,528,113,"Palo Alto, California, United States",Norwest is a global venture capital and growth equity investment firm that manages more than $6B in capital.,93,5.2,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Atlas Venture,/organization/atlas-venture,469,111,"Cambridge, Massachusetts, United States",Atlas Venture creates and invests in biotech startup companies in the U.S. with seed and early stage venture investments.,149,6.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Menlo Ventures,/organization/menlo-ventures,505,111,"Menlo Park, California, United States",Menlo Ventures is a venture capital firm providing capital for seed through growth technology companies in the consumer and other sectors.,165,4.9,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Index Ventures,/organization/index-ventures,597,110,"Geneva, Geneve, Switzerland",Index Ventures is a multi-stage international venture capital firm that backs the best and most ambitious entrepreneurs.,40,7.9,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Lightspeed Venture Partners,/organization/lightspeed-venture-partners,588,109,"Menlo Park, California, United States","Lightspeed Venture Partners is a venture capital firm that is engaged in the consumer, enterprise, technology, and cleantech markets.",95,-1.8,Venture Capital,"Seed, Grant, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
U.S. Venture Partners (USVP),/organization/us-venture-partners,460,109,"Menlo Park, California, United States","USVP is a leading Silicon valley-based venture capital firm, helping entrepreneurs build world-class companies","3,040",-9.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
CRV,/organization/crvvc,426,107,"Palo Alto, California, United States","CRV has been a leading investor in early-stage technology companies for almost half a century, backing nearly 400 startups in its history.","1,959",4.1,Venture Capital,"Seed, Early Stage Venture"
3i Group,/organization/3i-group,317,104,"London, England, United Kingdom","3i is an international investment manager focused on mid-market Private Equity, Infrastructure & Debt Management.",316,9,Private Equity Firm,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Foundation Capital,/organization/foundation-capital,451,103,"Menlo Park, California, United States",Foundation Capital is a venture capital firm made up of former entrepreneurs who set out to create the firm they wanted as founders.,182,-0.1,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Mayfield Fund,/organization/mayfield-fund,439,103,"Menlo Park, California, United States",Mayfield is a global venture capital firm with over $2.7 billion under management which was founded in 1969 with a people-first philosophy.,572,8.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Redpoint,/organization/redpoint-ventures,508,102,"Menlo Park, California, United States","Since 1999, Redpoint Ventures has partnered with visionary founders to create new markets or redefine existing ones.",346,5.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
First Round Capital,/organization/first-round-capital,604,100,"San Francisco, California, United States",First Round is a venture capital firm that specializes in providing seed-stage funding to technology companies.,139,1.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Meritech Capital Partners,/organization/meritech-capital-partners,215,97,"Palo Alto, California, United States",Meritech Capital is a provider of late-stage venture capital to technology companies.,586,5.2,Venture Capital,"Late Stage Venture, Private Equity"
Matrix Partners,/organization/matrix-partners,473,95,"San Francisco, California, United States",Matrix Partners is a California-based venture capital firm focused on seed- and early-stage investments.,107,7.8,Venture Capital,"Seed, Early Stage Venture"
Canaan Partners,/organization/canaan-partners,492,94,"Menlo Park, California, United States",Canaan Partners is an early stage venture capital firm.,585,-2.3,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
