Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Website,Last Funding Type,Last Funding Amount,Total Funding Amount,Trend Score (90 Days),Number of Employees,Categories,Founded Date,Status,Last Funding Date,Total Equity Funding Amount,Valuation at IPO
SpaceX,https://www.crunchbase.com/organization/space-exploration-technologies,"Science and Engineering, Transportation","Hawthorne, California, United States","SpaceX designs, manufactures, and launches advanced rockets and spacecraft.",6,http://www.spacex.com,Private Equity,"$350,000,000","$1,495,560,000",0.8,1001-5000,"Space Travel, Aerospace, Transportation",06/01/2002,Operating,07/27/2017,"$1,495,560,000",
BuzzFeed,https://www.crunchbase.com/organization/buzzfeed,"Media and Entertainment, Internet Services, Video, Content and Publishing","New York, New York, United States","BuzzFeed provides shareable breaking news, original reporting, entertainment, and videos across the social web.",11,http://www.buzzfeed.com,Series G,"$200,000,000","$496,300,000",-0.1,501-1000,"Internet, News, Video, Digital Entertainment, Social",01/01/2006,Operating,11/18/2016,"$496,300,000",
Uber,https://www.crunchbase.com/organization/uber,"Apps, Software, Transportation, Mobile","San Francisco, California, United States",Uber is a mobile app connecting passengers with drivers for hire.,12,http://www.uber.com,Funding Round,,"$11,562,450,000",1.2,5001-10000,"Transportation, Public Transportation, Mobile Apps, Ride Sharing",03/01/2009,Operating,04/19/2017,"$8,812,450,000",
HubSpot,https://www.crunchbase.com/organization/hubspot,"Media and Entertainment, Information Technology, Data and Analytics, Sales and Marketing, Internet Services","Cambridge, Massachusetts, United States","HubSpot develops cloud-based, inbound marketing software that allows businesses to transform the way that they market online.",14,http://www.hubspot.com,Series Unknown,"$35,000,000","$100,500,000",5.6,501-1000,"Analytics, Information Technology, Social Media, Marketing",06/09/2006,IPO,11/10/2012,"$100,500,000","$759,000,000"
DJI,https://www.crunchbase.com/organization/dji,"Manufacturing, Science and Engineering, Hardware, Consumer Electronics, Mobile","Shenzhen, Guangdong, China",DJI Innovations is a Chinese company that produces commercial and recreational unmanned aerial systems.,20,http://www.dji.com/,Series B,"$75,000,000","$105,000,000",3.2,,"Manufacturing, Wireless, Consumer Electronics, Aerospace",11/06/2006,Operating,05/05/2015,"$105,000,000",
Symantec,https://www.crunchbase.com/organization/symantec,"Hardware, Information Technology, Consumer Electronics, Privacy and Security","Mountain View, California, United States","Symantec provides security, storage, and systems management solutions that help consumers secure and manage their information.",24,http://www.nortontechnicalsupportnumber.com/,Post-IPO Equity,"$500,000,000","$503,000,000",-0.6,10001+,"Security, Cyber Security, Computer",01/01/1982,IPO,02/04/2016,"$503,000,000",
Redfin,https://www.crunchbase.com/organization/redfin,"Real Estate, Internet Services","Seattle, Washington, United States",Redfin provides real estate search and brokerage services through a combination of real estate web platforms and access to live agents.,25,http://www.redfin.com/,Series Unknown,,"$167,820,000",4.5,501-1000,"Real Estate, Internet, Property Management",10/01/2004,IPO,06/01/2015,"$167,820,000","$1,200,000,000"
GrubHub,https://www.crunchbase.com/organization/grubhub,"Travel and Tourism, Food and Beverage, Transportation","Chicago, Illinois, United States","GrubHub allows users to find and order food from restaurants in their vicinity that deliver or offer pickup, via an app and a website.",27,http://www.grubhub.com,Private Equity,,"$84,100,000",4.2,501-1000,"Food Delivery, Hospitality, Restaurants",01/01/2004,IPO,08/21/2013,"$84,100,000","$2,670,000,000"
Flipkart,https://www.crunchbase.com/organization/flipkart,"Commerce and Shopping, Community and Lifestyle, Clothing and Apparel, Design","Bangalore, Karnataka, India","Flipkart is an online shopping destination for electronics, books, music, and movies in India.",28,http://www.flipkart.com,Secondary Market,"$1,000,000,000","$7,122,140,000",-2.9,10001+,"E-Commerce, Shopping, Fashion, Retail, Lifestyle",09/01/2007,Operating,08/10/2017,"$7,122,140,000",
Yelp,https://www.crunchbase.com/organization/yelp,"Apps, Software, Internet Services, Mobile","San Francisco, California, United States",Yelp operates an online platform that connects people with local businesses.,29,http://yelp.com,Series E,"$25,000,000","$56,000,000",5.1,501-1000,"Apps, Customer Service, Mobile, Search Engine",07/01/2004,IPO,01/27/2010,"$56,000,000","$898,000,000"
WeWork,https://www.crunchbase.com/organization/wework,"Travel and Tourism, Real Estate","New York, New York, United States","WeWork is a platform for creators that transforms buildings into dynamic environments for creativity, focus, and collaboration.",32,https://www.wework.com,Private Equity,"$4,400,000,000","$9,853,784,331",4.8,501-1000,"Hospitality, Property Development, Building Maintenance",01/01/2017,Operating,08/25/2017,"$9,853,784,331",
Databricks,https://www.crunchbase.com/organization/databricks,"Data and Analytics, Software","San Francisco, California, United States","Databricks accelerates innovation by unifying analytics across data science, data engineering, and the business.",35,https://databricks.com,Series D,"$140,000,000","$247,000,000",8.5,101-250,"Analytics, Enterprise Software, Open Source",01/01/2013,Operating,08/22/2017,"$247,000,000",
